ID,Type,UGS,"GTIN, UPC, EAN ou ISBN",Nom,Publié,"Mis en avant ?","Visibilité dans le catalogue","Description courte",Description,"Date de début de promo","Date de fin de promo","État de la TVA","Classe de TVA","En stock ?",Stock,"Montant de stock faible","Autoriser les commandes de produits en rupture ?","Vendre individuellement ?","Poids (g)","Longueur (cm)","Largeur (cm)","Hauteur (cm)","Autoriser les avis clients ?","Note de commande","Tarif promo","Tarif régulier",Catégories,Étiquettes,"Classe d’expédition",Images,"Limite de téléchargement","Jours d’expiration du téléchargement",Parent,"Groupes de produits","Produits suggérés","Ventes croisées","URL externe","Libellé du bouton",Position,Marques
17918,simple,,,"Activlab omega 3 1000mg 60capsules",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,139.00,208.50,"Compléments Alimentaires, Compléments Alimentaires > Mémoire & Concentration",,,https://paralbl.ma/wp-content/uploads/2026/03/Activlab-omega-3-1000mg-60capsules.webp,,,,,,,,,0,Activlab
17919,simple,,,"Acure brightening facial scrub 118ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,159.00,238.50,"Visage > Masques & Exfoliants, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Acure-brightening-facial-scrub-118ml.jpg,,,,,,,,,0,Acure
17920,simple,,,"Addax Arnica Gel 15g",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,38.67,58.00,"Santé & Bien être > Premiers secours, Santé & Bien être",,,https://paralbl.ma/wp-content/uploads/2026/03/Addax-Arnica-Gel-15g.webp,,,,,,,,,0,Addax
17921,simple,,,"Addax Bactospray 125ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,103.60,155.40,"Santé & Bien être > Premiers secours, Santé & Bien être",,,https://paralbl.ma/wp-content/uploads/2026/03/Addax-Bactospray-125ml.png,,,,,,,,,0,Addax
17922,simple,,,"Addax Bactospray 60ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,48.30,72.45,"Santé & Bien être > Premiers secours, Santé & Bien être",,,https://paralbl.ma/wp-content/uploads/2026/03/Addax-Bactospray-60ml.webp,,,,,,,,,0,Addax
17923,simple,,,"Addax Emulsion Reparatrice",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,124.67,187.00,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Addax-Emulsion-Reparatrice.webp,,,,,,,,,0,Addax
17924,simple,,,"Addax Expert Solution Ongles Mycoses",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,130.00,195.00,"Corps, Corps > Soin Corps",,,https://paralbl.ma/wp-content/uploads/2026/03/Addax-Expert-Solution-Ongles-Mycoses.webp,,,,,,,,,0,Addax
17925,simple,,,"Addax Keracid Kerato 50ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,106.00,159.00,"Corps, Corps > Soin Corps",,,https://paralbl.ma/wp-content/uploads/2026/03/Addax-Keracid-Kerato-50ml.jpg,,,,,,,,,0,Addax
17926,simple,,,"Addax Septidol 5 250ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,81.20,121.80,"Santé & Bien être > Premiers secours, Santé & Bien être",,,https://paralbl.ma/wp-content/uploads/2026/03/Addax-Septidol-5-250ml.webp,,,,,,,,,0,Addax
17927,simple,,,"Addax Septidol 8 250ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,81.20,121.80,"Santé & Bien être > Premiers secours, Santé & Bien être",,,https://paralbl.ma/wp-content/uploads/2026/03/Addax-Septidol-8-250ml.png,,,,,,,,,0,Addax
